Name,Email,Skill,SkillDescription,SkillRate,Salary,JobTitle
Basia,vel.arcu.Curabitur@ligulaconsectetuerrhoncus.net,Oracle,Know characteristics of Oracle DB,1,200000,Junior Tester
Basia,vel.arcu.Curabitur@ligulaconsectetuerrhoncus.net,MySQL,Know characteristics of MySQL,8,200000,Junior Tester
Jason,lectus@Nuncuterat.ca,Python,,1,500000,Software architect
Garth,lorem@a.org,MS build,,3,,
Dara,Etiam@nisidictum.co.uk,,,5,,
Wade,massa@eu.co.uk,Grunt,,9,,
Kasper,vel@molestieintempus.ca,Javascript,,7,,
Dominic,posuere.enim.nisl@adipiscinglacus.edu,MS SQL,Know characteristics of MS SQL,4,,
Neve,sollicitudin.adipiscing.ligula@ipsumleo.org,,,10,,
Carter,adipiscing@Suspendisseeleifend.co.uk,MS SQL,Know characteristics of MS SQL,6,600000,Senior Software architect
Mechelle,aliquam.adipiscing.lacus@iaculisaliquet.com,,,7,,
Farrah,ut.lacus@sapien.net,,,2,,
Riley,purus@gravida.com,,,4,500000,Software architect
Henry,Sed.dictum.Proin@quis.ca,MS build,,6,500000,Software architect
Carter,adipiscing@Suspendisseeleifend.co.uk,Scrum,Have experience in agile development,3,600000,Senior Software architect
Maile,imperdiet.nec.leo@acmetus.ca,CSS,,4,200000,Junior Tester
Benedict,lacus.varius@sodales.org,,,8,500000,Software architect
Jin,vitae.odio.sagittis@SuspendisseduiFusce.net,,,9,,
Zoe,pede.Cum.sociis@viverraDonec.com,Tfs,Can use Tfs,5,300000,Software Developer
Carter,adipiscing@Suspendisseeleifend.co.uk,Git,Can use Git and know its basic commands,5,600000,Senior Software architect
Flynn,nisl.Quisque@faucibusorciluctus.edu,,,3,,
Harriet,ridiculus.mus@loremvehiculaet.com,Test automation,,7,,
Noelle,Donec.non.justo@Fuscediam.org,Test automation,,7,,
Macey,elit.Curabitur.sed@Seddictum.edu,OOP,Strong basics in Object Oriented Programming,5,,
Zoe,pede.Cum.sociis@viverraDonec.com,Python,,1,300000,Software Developer
Colby,vel.mauris.Integer@placerat.co.uk,HTML,,7,,
Hedwig,leo.in.lobortis@amet.ca,HTML,,6,,
Sybill,mattis.Cras.eget@mauris.edu,ALGOL,,8,,
Cyrus,enim.non.nisi@pellentesque.com,,,2,,
Hayfa,interdum.enim@indolor.org,OOP,Strong basics in Object Oriented Programming,4,,
Octavia,Curabitur.ut@Crasvehiculaaliquet.org,Python,,3,400000,DB Admin
Briar,Integer.eu@felisadipiscingfringilla.org,,,9,,
Cathleen,amet.luctus.vulputate@pharetra.net,,,6,,
Jason,fermentum@enimEtiamimperdiet.org,Grunt,,3,400000,DB Admin
Zoe,pede.Cum.sociis@viverraDonec.com,Tfs,Can use Tfs,7,300000,Software Developer
Zoe,pede.Cum.sociis@viverraDonec.com,Unit testing,Know unit testing theory and familiar with some testing framework,5,300000,Software Developer
Laurel,lobortis.nisi@malesuada.net,Tfs,Can use Tfs,2,400000,DB Admin
Ulla,nibh.Phasellus.nulla@risusDuis.net,Grunt,,3,400000,DB Admin
Zoe,pede.Cum.sociis@viverraDonec.com,Git,Can use Git and know its basic commands,1,300000,Software Developer
Blaze,vulputate.velit.eu@velpedeblandit.org,Tfs,Can use Tfs,5,300000,Software Developer
Blaze,vulputate.velit.eu@velpedeblandit.org,Grunt,,7,300000,Software Developer
Blaze,vulputate.velit.eu@velpedeblandit.org,Javascript,,8,300000,Software Developer
Xenos,tincidunt.aliquam@porttitorvulputate.net,Grunt,,2,,
Taylor,neque.Sed.eget@Proindolor.edu,,,10,500000,Software architect
Basia,vel.arcu.Curabitur@ligulaconsectetuerrhoncus.net,CSS,,6,200000,Junior Tester
Basia,vel.arcu.Curabitur@ligulaconsectetuerrhoncus.net,Tfs,,6,200000,Junior Tester
Lyle,risus@SuspendisseeleifendCras.org,Git,Can use Git and know its basic commands,2,400000,DB Admin
Ethan,laoreet.libero.et@nisiAeneaneget.org,,,7,,
Byron,primis.in@cubiliaCurae.co.uk,Unit testing,Know unit testing theory and familiar with some testing framework,8,200000,Junior Tester
Carter,adipiscing@Suspendisseeleifend.co.uk,MS build,,8,600000,Senior Software architect
Evan,nonummy@habitantmorbi.com,Unit testing,Know unit testing theory and familiar with some testing framework,8,,
Byron,primis.in@cubiliaCurae.co.uk,Gulp,,9,200000,Junior Tester
Xerxes,diam.eu@sapiencursus.net,MS build,,3,400000,DB Admin
Keaton,nec@In.co.uk,,,2,,
Galvin,quis@commodohendrerit.edu,,,9,200000,Junior Tester
Byron,primis.in@cubiliaCurae.co.uk,Grunt,,7,200000,Junior Tester
Dorothy,non.enim@Maurismagna.ca,MS build,,6,600000,Senior Software architect
Griffith,Nam@pellentesqueSed.com,OOP,Strong basics in Object Oriented Programming,2,,
Drew,lectus@mattisCras.ca,,,7,400000,DB Admin
Neil,ac.tellus.Suspendisse@aduiCras.edu,C#,Understand .NET and familiar with C#,3,600000,Senior Software architect
Taylor,neque.Sed.eget@Proindolor.edu,Python,,3,600000,Senior Software architect
Taylor,neque.Sed.eget@Proindolor.edu,UML,,10,600000,Senior Software architect
Alisa,vitae@bibendumDonecfelis.net,,,9,,
Kaye,vestibulum.neque@Morbinonsapien.ca,,,2,,
Carson,elit.sed@Crasdolor.com,Grunt,,9,,
Echo,eget.dictum@Sedpharetrafelis.edu,Javascript,,7,,
Eliana,ligula.consectetuer.rhoncus@arcuVivamus.net,MS SQL,Know characteristics of MS SQL,4,400000,DB Admin
Maris,vitae@enimcondimentumeget.org,,,10,200000,Junior Tester
Anjolie,consectetuer@sapienmolestieorci.com,,,1,,
Kalia,condimentum.eget.volutpat@rutrumjusto.ca,OOP,Strong basics in Object Oriented Programming,6,,
Rylee,Proin@malesuadaiderat.org,,,4,,
Hollee,tincidunt.Donec.vitae@sapien.edu,Javascript,,3,300000,Software Developer
Davis,imperdiet@duiFusce.com,Scrum,Have experience in agile development,4,200000,Junior Tester
Stone,Duis.mi.enim@ipsum.co.uk,Grunt,,6,600000,Senior Software architect
Daryl,dui@parturientmontes.org,CSS,,8,500000,Software architect
Sade,vel.sapien@scelerisquemollisPhasellus.net,Java,Know Java basics til Java 8,2,600000,Senior Software architect
Cameron,arcu@tacitisociosquad.co.uk,HTML,,6,600000,Senior Software architect
Mira,interdum.feugiat@utpellentesque.ca,Javascript,,7,600000,Senior Software architect
Lacota,cursus.et.eros@risusNullaeget.net,OOP,Strong basics in Object Oriented Programming,8,,
Camille,sit.amet.ultricies@quam.org,MS build,,7,500000,Software architect
Jack,non.feugiat.nec@diamnuncullamcorper.net,OOP,Strong basics in Object Oriented Programming,5,,
Rhiannon,facilisis@in.edu,MySQL,Know characteristics of MySQL,6,,
Geraldine,Praesent.eu@gravidanunc.net,,,8,,
Tamara,lectus@Suspendisseseddolor.net,Grunt,,9,600000,Senior Software architect
Kendall,id@rhoncusDonecest.ca,Gulp,,8,,
Celeste,tellus.justo.sit@iaculisenim.org,Test automation,,10,200000,Junior Tester
Quemby,faucibus.lectus.a@purusgravidasagittis.co.uk,,,8,,
Sierra,magna.nec.quam@conubia.ca,Unit testing,Know unit testing theory and familiar with some testing framework,2,,
Kyla,Quisque@posuereatvelit.org,,,1,400000,DB Admin
Janna,at@id.net,Unit testing,Know unit testing theory and familiar with some testing framework,10,,
Sydney,lobortis.nisi.nibh@nibh.com,Java,Know Java basics til Java 8,1,600000,Senior Software architect
Renee,amet.consectetuer@ac.edu,Unit testing,Know unit testing theory and familiar with some testing framework,5,400000,DB Admin
Peter,lectus@consequatpurus.org,LESS,,8,,
Tana,dapibus.gravida@eratvolutpatNulla.edu,C#,Understand .NET and familiar with C#,5,,
Ava,tempor.arcu.Vestibulum@non.edu,MS build,,8,,
